,corr_with_target
home_team_win,1.0
diff_elo_pre,0.28949402136759894
diff_win_rate_5,0.18398374637372514
diff_pts_rolling5,0.12037975026358536
diff_win_streak,0.1177795500504784
diff_fg_pct_rolling5,0.11478532193225094
diff_fg3_pct_rolling5,0.11116747298342101
diff_fg3m_rolling5,0.10205076506456547
diff_fgm_rolling5,0.08973348228144246
diff_dreb_rolling5,0.08419904420345886
diff_ast_rolling5,0.07711362749146615
diff_ft_pct_rolling5,0.0722398478202311
diff_reb_rolling5,0.05586145820230055
diff_fg3a_rolling5,0.04663336960464181
diff_stl_rolling5,0.03593204442574766
diff_rest_days,0.030061631045370747
diff_blk_rolling5,0.025815248943576338
diff_ftm_rolling5,0.015191746183897646
diff_fta_rolling5,-0.01615377584014392
diff_fga_rolling5,-0.019742746848310566
diff_oreb_rolling5,-0.021648677098334467
diff_pf_rolling5,-0.04101617318622321
diff_back_to_back,-0.06805241823027511
diff_tov_rolling5,-0.07779571543971756
